episode,total_reward
1,66.1890960163
2,66.1882950017
3,61.6201461978
4,54.7739683349
5,59.2479033098
6,68.4480705738
7,68.4561582799
8,66.1806749409
9,82.1398858652
10,68.4567899429
11,61.6088737445
12,88.8217410332
13,84.369670766
14,61.6120039866
15,63.9070734926
16,61.6261831097
17,54.7816050962
18,66.1541117912
19,57.0467262836
20,59.3071563766
21,59.2571704546
22,68.3733375272
23,88.8030870682
24,66.1111347641
25,63.8092213261
26,66.1131210718
27,59.2819764439
28,66.1497188725
29,68.4090314432
30,66.1336151103
31,63.7345719625
32,54.7262200543
33,77.4127397153
34,66.1288351256
35,122.842020895
36,61.5540468619
37,61.5356013469
38,95.3561501586
39,189.382655928
40,73.0069644319
41,54.7728761529
42,190.421793195
43,188.052305165
44,190.665204736
45,50.2147316931
46,57.0519866668
47,190.346858297
48,52.4889764638
49,52.4886901725
50,54.7463190188
51,54.7462879794
52,52.489201456
53,52.4892974192
54,54.746971634
55,72.9270105695
56,66.1255524733
57,190.683352587
58,190.485840406
59,63.8136118502
60,72.8983813025
61,181.245767504
62,188.207261894
63,188.423619097
64,95.7059713066
65,100.306802048
66,82.0982226004
67,104.859146747
68,59.3272196974
69,63.8673196502
70,72.9885102988
71,191.087648672
72,68.4764637774
73,73.0268954464
74,72.9893084156
75,59.3361458499
76,100.425251641
77,63.8958453445
78,84.4370124674
79,75.3187909343
80,70.719166574
81,47.9158737623
82,95.8538234862
83,188.030450816
84,100.379790864
85,66.1865755668
86,66.1862747477
87,66.1850437525
88,66.1862967142
89,66.1866420637
90,66.1864457953
91,66.1865543634
92,66.1866130005
93,66.1866359993
94,66.1862263457
95,66.1865357533
96,66.1864240832
97,66.1866452911
98,66.1860429356
99,66.1864035153
100,66.1861299368
101,66.1863697031
102,66.1863278673
103,66.1866352299
104,66.1860229113
105,66.1861255716
106,66.1866615368
107,66.186166581
108,50.2112852819
109,61.6166077329
110,68.4639386705
111,93.5299395682
112,75.3074801261
113,75.2792941346
114,95.7311494421
115,104.809601025
116,102.528508545
117,104.821896876
118,109.323626802
119,191.118488373
120,104.799111051
121,113.875311716
122,191.215402026
123,190.84074102
124,79.81072032
125,91.2501070692
126,109.390168855
127,100.274000276
128,84.357043104
129,82.0889512955
130,84.3789210011
131,84.3837022342
132,82.0879173621
133,70.7160712739
134,66.1555584958
135,63.9033878132
136,63.8867588568
137,52.4867559887
138,82.0865755239
139,93.4757762107
140,93.4967800511
141,84.3501993595
142,77.5543880569
143,68.4431331285
144,104.824108073
145,104.779637322
146,104.839158356
147,102.515169217
148,113.903946299
149,109.359030214
150,107.068199598
151,109.364556477
152,190.259730377
153,100.28118752
154,95.700379317
155,82.1023341649
156,107.096075161
157,104.802760163
158,104.821865502
159,102.529380993
160,147.83076903
161,122.966260325
162,190.47812899
163,190.616389682
164,188.051470211
165,190.630497948
166,190.604367717
167,190.407982597
168,190.48008911
169,190.380690998
170,190.321291191
171,109.366168928
172,107.040970628
173,104.809670688
174,104.797870884
175,190.361132645
176,190.412086111
177,190.478632972
178,190.65782202
179,136.501313036
180,131.991116816
181,190.547697526
182,190.346859572
183,190.433156482
184,190.389893169
185,190.429518194
186,172.36029221
187,190.353946973
188,165.615624848
189,190.337789843
190,190.442400081
191,190.503290066
192,190.341413753
193,190.410628018
194,190.422623737
195,190.525133936
196,190.346885208
197,190.49666698
198,190.483781838
199,190.404091417
200,190.350591053
201,190.422853426
202,190.341998149
203,190.505765013
204,190.461355172
205,190.512065964
206,95.7068812764
207,190.687350411
208,61.6137951932
209,66.1438403242
210,68.4159743855
211,68.4171752963
212,66.1477696704
213,68.4191449896
214,68.4236802502
215,68.4239792566
216,68.4106602019
217,68.4243701342
218,66.1445795961
219,68.41448897
220,68.4248466753
221,66.1479270557
222,68.4209567946
223,66.1481698638
224,66.1474882324
225,66.1483432119
226,66.1453209306
227,66.1497203951
228,66.1444990645
229,66.1420331982
230,68.4148966485
231,66.1504938125
232,66.1463645687
233,66.1439543839
234,68.4265436726
235,66.1491504677
236,68.4172390075
237,68.424596621
238,66.1502634125
239,68.4137148189
240,68.4121893975
241,66.1435443145
242,66.1490316756
243,68.424697112
244,68.4229063267
245,66.1401581351
246,66.1426735643
247,68.4237362632
248,66.1471927045
249,68.408585858
250,66.1426107157
251,66.1405551425
252,66.1495394265
253,68.4151786353
254,66.1486566304
255,66.1446565665
256,66.1448918924
257,68.4180492158
258,66.1466528245
259,66.1383074339
260,68.4220005729
261,68.4116019059
262,66.1458713314
263,66.1419598965
264,68.4234482161
265,66.1466049208
266,68.422182806
267,66.149167842
268,66.1444884406
269,66.1420867166
270,68.4101381165
271,66.1375717125
272,66.1431553375
273,66.1457903725
274,66.1475170554
275,66.1470993245
276,68.4114498266
277,66.1453392651
278,68.4191783553
279,66.1451570322
280,66.1398917364
281,68.4261071601
282,68.416456463
283,66.1463557341
284,66.1493901256
285,66.1443619049
286,66.1406339984
287,66.1440750706
288,68.4143750671
289,68.4192340289
290,68.4202678546
291,66.1481008434
292,66.1462233083
293,68.4161245836
294,68.4147683208
295,66.1463793079
296,66.1422924541
297,68.4233182965
298,66.1461077461
299,68.4262661745
300,68.4264663838
301,66.1484024722
302,68.4147971139
303,66.1461619581
304,66.1418723223
305,66.1432226534
306,68.4183060419
307,66.1440484929
308,68.411257768
309,68.4194306971
310,68.4211058267
311,66.1500467639
312,68.4191434479
313,68.4272222764
314,68.4113157923
315,68.4196090358
316,68.4220096592
317,66.1442904551
318,66.1470253226
319,66.1485907431
320,68.4225517713
321,66.1483692083
322,66.1461464306
323,68.4161755878
324,66.1466088274
325,66.1475092737
326,66.1476169355
327,66.1416492432
328,68.4215388385
329,66.1416185696
330,68.4205555314
331,68.4236344191
332,68.4119676168
333,66.1470415072
334,66.1483498836
335,66.1383084098
336,68.4194651609
337,68.419053953
338,66.1443447282
339,68.4223806743
340,68.4210236797
341,68.4087252442
342,68.4207335961
343,68.4167034432
344,68.4079659053
345,66.1439830306
346,68.4251359621
347,66.1445998879
348,68.4028250797
349,68.4248678416
350,68.4079770314
351,66.1498856286
352,66.1491804361
353,66.1469044793
354,68.4034746932
355,66.1389089879
356,68.4230205096
357,68.4199471519
358,68.4237230734
359,66.1466129457
360,66.1468498705
361,66.1439695855
362,68.4224229682
363,66.1419492435
364,68.4238024181
365,66.1475955326
366,66.1446138367
367,68.4138388351
368,68.415877658
369,68.4156344937
370,68.4191577462
371,68.4228176454
372,68.4239020923
373,68.4166299194
374,66.1432822171
375,66.1456813284
376,68.4185394216
377,66.142332424
378,66.1461416906
379,66.1477525383
380,66.1458348173
381,66.1450074129
382,61.5939835529
383,75.29101413
384,59.3029553308
385,188.078328138
386,66.1475113355
387,66.1488815917
388,66.1465037688
389,66.1479268187
390,66.1484468368
391,66.1470958388
392,66.1475953776
393,66.1479293405
394,66.1470203846
395,66.1496999048
396,66.1494355655
397,66.1492543653
398,66.1482380797
399,66.1464012143
400,66.1473721214
401,66.1447315738
402,66.147897873
403,66.1481087952
404,66.1459247377
405,63.8617854417
406,52.4638502728
407,190.176256637
408,190.522947256
409,176.742375099
410,190.425485997
411,190.28539324
412,190.292756116
413,190.351586362
414,190.360235679
415,190.19338782
416,190.166430256
417,190.554241475
418,190.24614057
419,174.49535754
420,190.438632984
421,181.213098218
422,190.395960546
423,190.30651688
424,185.690109958
425,190.201314236
426,190.234115461
427,190.438966449
428,190.396006752
429,190.375379888
430,190.404771511
431,190.35181428
432,190.207515887
433,190.472066933
434,190.306461015
435,190.404810135
436,190.184770183
437,190.17824215
438,190.381913023
439,190.225339546
440,190.177017009
441,190.250373261
442,122.901646029
443,120.603508535
444,190.192088735
445,190.327252214
446,190.333928181
447,190.554776488
448,190.456804855
449,190.166186311
450,190.259935544
451,165.527765231
452,190.187321635
453,190.187266451
454,190.361186965
455,190.2720243
456,178.983880374
457,190.281107782
458,190.421041748
459,190.574928347
460,174.49616152
461,190.228567607
462,190.31721253
463,190.283133797
464,190.363739429
465,190.231389841
466,190.305629231
467,190.465731569
468,190.222166496
469,190.298290474
470,190.167080704
471,190.167073607
472,190.292325999
473,190.164897214
474,190.209518933
475,190.239555012
476,190.409360644
477,190.257105242
478,174.483046937
479,190.278636884
480,190.30338596
481,190.363560167
482,161.043049237
483,190.255598303
484,190.393406145
485,190.333033796
486,190.20831894
487,190.331838009
488,190.168112242
489,190.267351523
490,190.243631062
491,190.455535981
492,190.300593877
493,190.172298343
494,190.268174554
495,190.26756876
496,154.302037463
497,161.036584559
498,190.358274218
499,190.151253751
500,190.320868795
